zeit;rr-Menge 10min in mm
2023-05-23 00:00:00;0.0
2023-05-23 00:10:00;0.0
2023-05-23 00:20:00;0.0
2023-05-23 00:30:00;0.0
2023-05-23 00:40:00;0.0
2023-05-23 00:50:00;0.0
2023-05-23 01:00:00;0.0
2023-05-23 01:10:00;0.0
2023-05-23 01:20:00;0.0
2023-05-23 01:30:00;0.0
2023-05-23 01:40:00;0.0
2023-05-23 01:50:00;0.0
2023-05-23 02:00:00;0.0
2023-05-23 02:10:00;0.0
2023-05-23 02:20:00;0.0
2023-05-23 02:30:00;0.0
2023-05-23 02:40:00;0.0
2023-05-23 02:50:00;0.0
2023-05-23 03:00:00;0.0
2023-05-23 03:10:00;0.0
2023-05-23 03:20:00;0.0
2023-05-23 03:30:00;0.0
2023-05-23 03:40:00;0.0
2023-05-23 03:50:00;0.0
2023-05-23 04:00:00;0.0
2023-05-23 04:10:00;0.0
2023-05-23 04:20:00;0.0
2023-05-23 04:30:00;0.0
2023-05-23 04:40:00;0.0
2023-05-23 04:50:00;0.0
2023-05-23 05:00:00;0.0
2023-05-23 05:10:00;0.0
2023-05-23 05:20:00;0.0
2023-05-23 05:30:00;0.0
2023-05-23 05:40:00;0.0
2023-05-23 05:50:00;0.0
2023-05-23 06:00:00;0.0
2023-05-23 06:10:00;0.0
2023-05-23 06:20:00;0.0
2023-05-23 06:30:00;0.0
2023-05-23 06:40:00;0.0
2023-05-23 06:50:00;0.0
2023-05-23 07:00:00;0.0
2023-05-23 07:10:00;0.0
2023-05-23 07:20:00;0.0
2023-05-23 07:30:00;0.0
2023-05-23 07:40:00;0.0
2023-05-23 07:50:00;0.0
2023-05-23 08:00:00;0.0
2023-05-23 08:10:00;0.0
2023-05-23 08:20:00;0.0
2023-05-23 08:30:00;0.0
2023-05-23 08:40:00;0.0
2023-05-23 08:50:00;0.0
2023-05-23 09:00:00;0.0
2023-05-23 09:10:00;0.0
2023-05-23 09:20:00;0.0
2023-05-23 09:30:00;0.0
2023-05-23 09:40:00;0.0
2023-05-23 09:50:00;0.0
2023-05-23 10:00:00;0.0
2023-05-23 10:10:00;0.0
2023-05-23 10:20:00;0.0
2023-05-23 10:30:00;0.0
2023-05-23 10:40:00;0.0
2023-05-23 10:50:00;0.0
2023-05-23 11:00:00;0.0
2023-05-23 11:10:00;0.0
2023-05-23 11:20:00;0.0
2023-05-23 11:30:00;0.0
2023-05-23 11:40:00;0.0
2023-05-23 11:50:00;0.0
2023-05-23 12:00:00;0.0
2023-05-23 12:10:00;0.0
2023-05-23 12:20:00;0.0
2023-05-23 12:30:00;0.2
2023-05-23 12:40:00;0.0
2023-05-23 12:50:00;0.0
2023-05-23 13:00:00;0.0
2023-05-23 13:10:00;0.0
2023-05-23 13:20:00;0.0
2023-05-23 13:30:00;0.0
2023-05-23 13:40:00;0.0
2023-05-23 13:50:00;0.0
2023-05-23 14:00:00;0.0
2023-05-23 14:10:00;0.0
2023-05-23 14:20:00;0.0
2023-05-23 14:30:00;0.0
2023-05-23 14:40:00;0.0
2023-05-23 14:50:00;0.0
2023-05-23 15:00:00;0.0
2023-05-23 15:10:00;0.0
2023-05-23 15:20:00;0.0
2023-05-23 15:30:00;0.0
2023-05-23 15:40:00;0.0
2023-05-23 15:50:00;0.0
2023-05-23 16:00:00;0.1
2023-05-23 16:10:00;0.6
2023-05-23 16:20:00;0.0
2023-05-23 16:30:00;0.0
2023-05-23 16:40:00;0.0
2023-05-23 16:50:00;0.0
2023-05-23 17:00:00;0.0
2023-05-23 17:10:00;0.1
2023-05-23 17:20:00;0.0
2023-05-23 17:30:00;0.0
2023-05-23 17:40:00;0.1
2023-05-23 17:50:00;0.5
2023-05-23 18:00:00;0.4
2023-05-23 18:10:00;0.1
2023-05-23 18:20:00;0.2
2023-05-23 18:30:00;0.2
2023-05-23 18:40:00;0.1
2023-05-23 18:50:00;0.1
2023-05-23 19:00:00;0.0
2023-05-23 19:10:00;0.0
2023-05-23 19:20:00;0.1
2023-05-23 19:30:00;0.1
2023-05-23 19:40:00;0.0
2023-05-23 19:50:00;0.0
2023-05-23 20:00:00;0.0
2023-05-23 20:10:00;0.0
2023-05-23 20:20:00;0.0
2023-05-23 20:30:00;0.0
2023-05-23 20:40:00;0.0
2023-05-23 20:50:00;0.0
2023-05-23 21:00:00;0.0
2023-05-23 21:10:00;0.0
2023-05-23 21:20:00;0.0
2023-05-23 21:30:00;0.0
2023-05-23 21:40:00;0.0
2023-05-23 21:50:00;0.0
2023-05-23 22:00:00;0.0
2023-05-23 22:10:00;0.0
2023-05-23 22:20:00;0.0
2023-05-23 22:30:00;0.0
2023-05-23 22:40:00;0.0
