Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202305291430;24.20;0.00;10.00;682.00;30.00;5.50;32.00;18.70;31.30;953.80;1014.00;1017.10;-;-;-;-;-;-;-;-
COM;202305291430;21.80;0.00;0.00;233.00;52.00;11.50;154.00;13.70;27.00;948.00;1012.60;1015.50;-;-;-;-;-;-;-;-
ABO;202305291430;17.80;0.00;1.00;373.00;52.30;7.90;44.00;12.60;25.90;868.00;-;1018.00;1504.90;-;-;-;-;-;-;-
AIG;202305291430;25.30;0.00;10.00;722.00;45.20;12.60;350.00;17.60;29.90;967.90;1010.70;1013.00;-;-;-;-;-;-;-;-
ALT;202305291430;23.40;0.00;3.00;415.00;44.60;10.70;331.00;16.60;24.10;963.30;1012.80;1015.10;-;-;-;-;-;-;-;-
ARH;202305291430;24.30;0.00;10.00;678.00;37.80;9.00;12.00;16.90;30.60;969.30;1014.20;1016.40;-;-;-;-;-;-;-;-
AND;202305291430;21.20;0.00;1.00;384.00;34.60;5.00;13.00;12.60;25.60;902.40;-;1015.90;1503.70;-;-;-;-;-;-;-
ANT;202305291430;17.10;0.00;7.00;660.00;51.50;7.00;22.00;18.00;31.00;857.20;-;1018.90;1507.70;-;-;-;-;-;-;-
ARO;202305291430;13.50;0.00;10.00;852.00;54.90;4.60;322.00;8.30;19.40;813.10;-;1020.60;1503.10;-;-;-;-;-;-;-
RAG;202305291430;24.40;0.00;9.00;527.00;36.20;8.50;326.00;21.20;40.00;957.30;1012.90;1015.80;-;-;-;-;-;-;-;-
BAN;202305291430;-;-;10.00;747.00;-;-;-;-;-;-;-;-;-;-;41.00;41.00;54.70;18.00;37.70;3.40
BAS;202305291430;26.90;0.00;10.00;732.00;26.50;6.10;87.00;9.70;29.90;978.10;1013.70;1015.80;-;-;-;-;-;-;-;-
LAT;202305291430;18.00;0.00;0.00;299.00;43.00;5.20;308.00;8.60;19.10;-;-;-;-;-;-;-;-;-;-;-
BER;202305291430;24.70;0.00;10.00;728.00;32.80;7.30;43.00;17.60;31.70;950.70;1012.30;1015.70;-;-;-;-;-;-;-;-
BEZ;202305291430;25.80;0.00;10.00;709.00;29.40;6.60;73.00;10.40;25.20;977.40;1014.20;1016.20;-;-;-;-;-;-;-;-
BIA;202305291430;24.90;0.00;6.00;670.00;47.10;12.90;188.00;24.50;40.30;980.70;1012.30;1013.80;-;-;-;-;-;-;-;-
BIN;202305291430;18.30;0.00;-;-;42.00;5.20;60.00;10.40;22.30;-;-;-;-;-;-;-;-;-;-;-
BIZ;202305291430;24.10;0.00;10.00;669.00;29.90;5.40;36.00;21.60;31.70;957.20;1014.00;1016.90;-;-;-;-;-;-;-;-
BIV;202305291430;14.50;0.00;-;-;52.50;4.90;270.00;18.40;26.60;-;-;-;-;-;-;-;-;-;-;-
BIE;202305291430;22.90;0.00;10.00;770.00;34.20;6.30;32.00;19.40;38.90;935.90;-;1015.60;1516.00;-;-;-;-;-;-;-
