Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202305281820;20.10;0.00;9.00;76.00;43.80;7.40;34.00;5.00;8.60;952.80;1013.90;1016.10;-;-;-;-;-;-;-;-
COM;202305281820;17.20;0.00;0.00;39.00;83.20;14.30;263.00;4.00;5.40;947.10;1012.80;1014.50;-;-;-;-;-;-;-;-
ABO;202305281820;15.20;0.00;0.00;55.00;58.50;7.10;31.00;6.50;11.90;867.60;-;1017.60;1499.30;-;-;-;-;-;-;-
AIG;202305281820;24.00;0.00;0.00;45.00;33.90;7.10;329.00;13.70;23.80;967.40;1010.40;1012.50;-;-;-;-;-;-;-;-
ALT;202305281820;22.40;0.00;0.00;56.00;39.80;8.10;334.00;9.70;14.80;962.50;1012.10;1014.30;-;-;-;-;-;-;-;-
ARH;202305281820;21.00;0.00;0.00;67.00;42.40;7.70;35.00;11.20;21.60;968.40;1013.80;1015.50;-;-;-;-;-;-;-;-
AND;202305281820;14.90;0.00;0.00;10.00;63.20;8.00;106.00;1.40;5.80;902.90;-;1016.40;1496.70;-;-;-;-;-;-;-
ANT;202305281820;14.20;0.00;0.00;37.00;52.80;4.70;47.00;11.90;25.20;856.70;-;1018.40;1502.00;-;-;-;-;-;-;-
ARO;202305281820;10.30;0.00;0.00;27.00;68.90;4.80;38.00;6.80;11.50;812.90;-;1020.40;1505.40;-;-;-;-;-;-;-
RAG;202305281820;22.00;0.00;0.00;72.00;40.10;7.80;329.00;14.00;29.20;956.80;1012.80;1015.20;-;-;-;-;-;-;-;-
BAN;202305281820;-;-;10.00;94.00;-;-;-;-;-;-;-;-;-;-;50.00;37.80;47.50;17.20;46.20;5.60
BAS;202305281820;22.70;0.00;0.00;76.00;44.90;10.10;56.00;2.90;13.30;977.00;1013.20;1014.60;-;-;-;-;-;-;-;-
LAT;202305281820;13.70;0.00;0.00;29.00;55.50;5.00;315.00;5.40;12.60;-;-;-;-;-;-;-;-;-;-;-
BER;202305281820;21.50;0.00;10.00;83.00;41.10;7.70;43.00;9.00;17.30;949.90;1012.20;1014.80;-;-;-;-;-;-;-;-
BEZ;202305281820;23.00;0.00;0.00;42.00;34.50;6.50;63.00;5.80;12.60;976.40;1013.60;1015.10;-;-;-;-;-;-;-;-
BIA;202305281820;19.30;0.80;0.00;68.00;88.70;17.40;314.00;6.50;12.20;980.20;1012.40;1013.30;-;-;-;-;-;-;-;-
BIN;202305281820;14.10;0.00;-;-;57.60;5.90;26.00;4.70;8.30;-;-;-;-;-;-;-;-;-;-;-
BIZ;202305281820;19.30;0.00;4.00;78.00;48.30;8.10;60.00;9.70;14.00;956.20;1014.00;1015.90;-;-;-;-;-;-;-;-
BIV;202305281820;10.50;0.00;-;-;65.00;4.20;266.00;7.20;13.00;-;-;-;-;-;-;-;-;-;-;-
BIE;202305281820;19.70;0.00;10.00;97.00;35.70;4.10;25.00;10.80;24.10;935.30;-;1015.00;1501.10;-;-;-;-;-;-;-
BLA;202305281820;14.50;0.00;0.00;56.00;46.20;3.10;360.00;7.20;15.80;845.40;-;1017.70;1492.90;-;-;-;-;-;-;-
BOL;202305281820;17.10;0.00;0.00;35.00;57.70;8.70;31.00;5.40;10.10;920.50;-;1015.50;1495.90;-;-;-;-;-;-;-
BOU;202305281820;23.30;-;-;-;42.80;10.00;270.00;19.40;34.90;968.50;1010.80;1012.70;-;-;-;-;-;-;-;-
