Wed Jul 17 22:07:28 UTC 2019: 0-BYTE ERROR
Sa 7. Mär 09:45:01 UTC 2020: 0-BYTE ERROR
Sa 7. Mär 22:30:01 UTC 2020: 0-BYTE ERROR
So 8. Mär 20:30:01 UTC 2020: 0-BYTE ERROR
Mo 9. Mär 00:45:01 UTC 2020: 0-BYTE ERROR
Mo 9. Mär 05:30:03 UTC 2020: 0-BYTE ERROR
Mo 9. Mär 14:45:02 UTC 2020: 0-BYTE ERROR
Mo 9. Mär 20:00:02 UTC 2020: 0-BYTE ERROR
Mo 9. Mär 20:00:02 UTC 2020: 0-BYTE ERROR
Di 10. Mär 09:45:02 UTC 2020: 0-BYTE ERROR
Di 10. Mär 10:15:02 UTC 2020: 0-BYTE ERROR
Di 10. Mär 17:00:02 UTC 2020: 0-BYTE ERROR
Mi 11. Mär 04:30:06 UTC 2020: 0-BYTE ERROR
Mi 11. Mär 09:45:01 UTC 2020: 0-BYTE ERROR
Do 12. Mär 05:45:01 UTC 2020: 0-BYTE ERROR
Do 12. Mär 11:45:02 UTC 2020: 0-BYTE ERROR
Do 12. Mär 17:30:02 UTC 2020: 0-BYTE ERROR
Do 12. Mär 17:45:02 UTC 2020: 0-BYTE ERROR
Do 12. Mär 17:45:02 UTC 2020: 0-BYTE ERROR
Fr 13. Mär 05:30:04 UTC 2020: 0-BYTE ERROR
Fr 13. Mär 05:45:02 UTC 2020: 0-BYTE ERROR
Fr 13. Mär 05:45:02 UTC 2020: 0-BYTE ERROR
Fr 13. Mär 16:45:04 UTC 2020: 0-BYTE ERROR
Fr 13. Mär 20:45:02 UTC 2020: 0-BYTE ERROR
Sa 14. Mär 04:30:02 UTC 2020: 0-BYTE ERROR
Sa 14. Mär 04:45:01 UTC 2020: 0-BYTE ERROR
Sa 14. Mär 05:45:01 UTC 2020: 0-BYTE ERROR
Sa 14. Mär 07:30:02 UTC 2020: 0-BYTE ERROR
Sa 14. Mär 11:30:01 UTC 2020: 0-BYTE ERROR
Sa 14. Mär 12:00:02 UTC 2020: 0-BYTE ERROR
Sa 14. Mär 17:45:02 UTC 2020: 0-BYTE ERROR
So 15. Mär 19:00:02 UTC 2020: 0-BYTE ERROR
Mo 16. Mär 19:45:01 UTC 2020: 0-BYTE ERROR
Di 17. Mär 04:30:02 UTC 2020: 0-BYTE ERROR
Di 17. Mär 06:30:01 UTC 2020: 0-BYTE ERROR
Di 17. Mär 08:45:01 UTC 2020: 0-BYTE ERROR
Di 17. Mär 21:45:02 UTC 2020: 0-BYTE ERROR
Di 17. Mär 23:45:01 UTC 2020: 0-BYTE ERROR
Mi 18. Mär 18:30:01 UTC 2020: 0-BYTE ERROR
Mi 18. Mär 19:15:01 UTC 2020: 0-BYTE ERROR
Mi 18. Mär 22:45:01 UTC 2020: 0-BYTE ERROR
Do 19. Mär 00:30:01 UTC 2020: 0-BYTE ERROR
Do 19. Mär 12:15:02 UTC 2020: 0-BYTE ERROR
Do 19. Mär 16:45:02 UTC 2020: 0-BYTE ERROR
Do 19. Mär 20:45:02 UTC 2020: 0-BYTE ERROR
Sa 21. Mär 08:30:02 UTC 2020: 0-BYTE ERROR
Sa 21. Mär 10:45:02 UTC 2020: 0-BYTE ERROR
Sa 21. Mär 18:45:01 UTC 2020: 0-BYTE ERROR
Sa 21. Mär 23:00:01 UTC 2020: 0-BYTE ERROR
Sa 21. Mär 23:30:01 UTC 2020: 0-BYTE ERROR
So 22. Mär 20:30:02 UTC 2020: 0-BYTE ERROR
So 22. Mär 21:45:02 UTC 2020: 0-BYTE ERROR
So 22. Mär 21:45:02 UTC 2020: 0-BYTE ERROR
Mo 23. Mär 00:30:01 UTC 2020: 0-BYTE ERROR
Mo 23. Mär 01:45:02 UTC 2020: 0-BYTE ERROR
Mo 23. Mär 15:45:01 UTC 2020: 0-BYTE ERROR
Mo 23. Mär 16:00:01 UTC 2020: 0-BYTE ERROR
Mo 23. Mär 22:45:01 UTC 2020: 0-BYTE ERROR
Di 24. Mär 05:00:01 UTC 2020: 0-BYTE ERROR
Di 24. Mär 06:45:01 UTC 2020: 0-BYTE ERROR
Di 24. Mär 13:45:01 UTC 2020: 0-BYTE ERROR
Di 24. Mär 16:30:01 UTC 2020: 0-BYTE ERROR
Mi 25. Mär 04:30:03 UTC 2020: 0-BYTE ERROR
Mi 25. Mär 17:30:27 UTC 2020: 0-BYTE ERROR
Mi 25. Mär 18:00:02 UTC 2020: 0-BYTE ERROR
Mi 25. Mär 19:30:01 UTC 2020: 0-BYTE ERROR
Do 26. Mär 10:15:01 UTC 2020: 0-BYTE ERROR
Do 26. Mär 15:45:01 UTC 2020: 0-BYTE ERROR
Do 26. Mär 23:45:02 UTC 2020: 0-BYTE ERROR
Fr 27. Mär 07:30:02 UTC 2020: 0-BYTE ERROR
Fr 27. Mär 12:45:02 UTC 2020: 0-BYTE ERROR
Fr 27. Mär 22:30:01 UTC 2020: 0-BYTE ERROR
Sa 28. Mär 05:45:01 UTC 2020: 0-BYTE ERROR
Sa 28. Mär 10:30:01 UTC 2020: 0-BYTE ERROR
Sa 28. Mär 16:30:01 UTC 2020: 0-BYTE ERROR
Sa 28. Mär 17:30:02 UTC 2020: 0-BYTE ERROR
Sa 28. Mär 17:45:01 UTC 2020: 0-BYTE ERROR
So 29. Mär 05:00:03 UTC 2020: 0-BYTE ERROR
So 29. Mär 10:45:01 UTC 2020: 0-BYTE ERROR
Mo 30. Mär 01:30:02 UTC 2020: 0-BYTE ERROR
Mo 30. Mär 06:30:01 UTC 2020: 0-BYTE ERROR
Mo 30. Mär 07:00:02 UTC 2020: 0-BYTE ERROR
Di 31. Mär 13:45:01 UTC 2020: 0-BYTE ERROR
Di 31. Mär 18:45:01 UTC 2020: 0-BYTE ERROR
Do 2. Apr 10:30:02 UTC 2020: 0-BYTE ERROR
Do 2. Apr 16:30:01 UTC 2020: 0-BYTE ERROR
Fr 3. Apr 05:00:02 UTC 2020: 0-BYTE ERROR
Fr 3. Apr 19:30:01 UTC 2020: 0-BYTE ERROR
Sa 4. Apr 20:30:01 UTC 2020: 0-BYTE ERROR
So 5. Apr 17:45:01 UTC 2020: 0-BYTE ERROR
Mo 6. Apr 18:30:01 UTC 2020: 0-BYTE ERROR
Di 7. Apr 10:30:02 UTC 2020: 0-BYTE ERROR
Mi 8. Apr 04:30:12 UTC 2020: 0-BYTE ERROR
Mi 8. Apr 05:30:02 UTC 2020: 0-BYTE ERROR
Mi 8. Apr 06:30:01 UTC 2020: 0-BYTE ERROR
Do 9. Apr 12:30:01 UTC 2020: 0-BYTE ERROR
Fr 10. Apr 17:00:21 UTC 2020: 0-BYTE ERROR
Sa 11. Apr 04:30:02 UTC 2020: 0-BYTE ERROR
Sa 11. Apr 05:30:01 UTC 2020: 0-BYTE ERROR
So 12. Apr 04:45:02 UTC 2020: 0-BYTE ERROR
So 12. Apr 08:30:01 UTC 2020: 0-BYTE ERROR
So 12. Apr 12:45:01 UTC 2020: 0-BYTE ERROR
So 12. Apr 22:30:02 UTC 2020: 0-BYTE ERROR
Mo 13. Apr 08:30:01 UTC 2020: 0-BYTE ERROR
Mo 13. Apr 13:30:02 UTC 2020: 0-BYTE ERROR
Mi 15. Apr 21:30:02 UTC 2020: 0-BYTE ERROR
Do 16. Apr 02:30:04 UTC 2020: 0-BYTE ERROR
Do 16. Apr 07:45:02 UTC 2020: 0-BYTE ERROR
Do 16. Apr 12:45:02 UTC 2020: 0-BYTE ERROR
Do 16. Apr 17:45:01 UTC 2020: 0-BYTE ERROR
Fr 17. Apr 23:30:01 UTC 2020: 0-BYTE ERROR
Sa 18. Apr 16:30:01 UTC 2020: 0-BYTE ERROR
So 19. Apr 18:30:02 UTC 2020: 0-BYTE ERROR
So 19. Apr 22:30:01 UTC 2020: 0-BYTE ERROR
Mo 20. Apr 20:30:01 UTC 2020: 0-BYTE ERROR
Di 21. Apr 03:45:02 UTC 2020: 0-BYTE ERROR
Di 21. Apr 04:30:01 UTC 2020: 0-BYTE ERROR
Di 21. Apr 09:00:01 UTC 2020: 0-BYTE ERROR
Mi 22. Apr 02:30:01 UTC 2020: 0-BYTE ERROR
Mi 22. Apr 06:45:01 UTC 2020: 0-BYTE ERROR
Mi 22. Apr 10:30:01 UTC 2020: 0-BYTE ERROR
Do 23. Apr 16:45:02 UTC 2020: 0-BYTE ERROR
Fr 24. Apr 19:15:03 UTC 2020: 0-BYTE ERROR
Sa 25. Apr 04:30:02 UTC 2020: 0-BYTE ERROR
Sa 25. Apr 05:30:02 UTC 2020: 0-BYTE ERROR
Sa 25. Apr 14:45:01 UTC 2020: 0-BYTE ERROR
So 26. Apr 16:45:01 UTC 2020: 0-BYTE ERROR
So 26. Apr 21:30:01 UTC 2020: 0-BYTE ERROR
Mo 27. Apr 15:30:02 UTC 2020: 0-BYTE ERROR
Di 28. Apr 10:00:01 UTC 2020: 0-BYTE ERROR
Di 28. Apr 10:15:02 UTC 2020: 0-BYTE ERROR
Di 28. Apr 23:30:01 UTC 2020: 0-BYTE ERROR
Mi 29. Apr 03:30:02 UTC 2020: 0-BYTE ERROR
Mi 29. Apr 13:30:01 UTC 2020: 0-BYTE ERROR
Do 30. Apr 20:45:02 UTC 2020: 0-BYTE ERROR
Sa 2. Mai 17:30:01 UTC 2020: 0-BYTE ERROR
Sa 2. Mai 22:30:01 UTC 2020: 0-BYTE ERROR
So 3. Mai 02:45:02 UTC 2020: 0-BYTE ERROR
So 3. Mai 16:15:01 UTC 2020: 0-BYTE ERROR
Di 5. Mai 13:15:01 UTC 2020: 0-BYTE ERROR
Di 5. Mai 17:30:02 UTC 2020: 0-BYTE ERROR
Mi 6. Mai 02:45:02 UTC 2020: 0-BYTE ERROR
Mi 6. Mai 07:30:02 UTC 2020: 0-BYTE ERROR
Mi 6. Mai 10:30:02 UTC 2020: 0-BYTE ERROR
Mi 6. Mai 22:15:01 UTC 2020: 0-BYTE ERROR
Do 7. Mai 09:30:02 UTC 2020: 0-BYTE ERROR
Do 7. Mai 22:30:02 UTC 2020: 0-BYTE ERROR
Sa 9. Mai 09:30:01 UTC 2020: 0-BYTE ERROR
Sa 9. Mai 10:30:01 UTC 2020: 0-BYTE ERROR
Sa 9. Mai 14:45:01 UTC 2020: 0-BYTE ERROR
Sa 9. Mai 19:00:01 UTC 2020: 0-BYTE ERROR
Sa 9. Mai 19:30:02 UTC 2020: 0-BYTE ERROR
Mo 11. Mai 02:30:06 UTC 2020: 0-BYTE ERROR
Mo 11. Mai 07:30:01 UTC 2020: 0-BYTE ERROR
Mo 11. Mai 20:30:02 UTC 2020: 0-BYTE ERROR
Di 12. Mai 13:45:01 UTC 2020: 0-BYTE ERROR
Mi 13. Mai 08:30:01 UTC 2020: 0-BYTE ERROR
Mi 13. Mai 17:30:02 UTC 2020: 0-BYTE ERROR
Do 14. Mai 23:30:01 UTC 2020: 0-BYTE ERROR
Fr 15. Mai 04:30:02 UTC 2020: 0-BYTE ERROR
Fr 15. Mai 04:45:01 UTC 2020: 0-BYTE ERROR
Fr 15. Mai 08:45:02 UTC 2020: 0-BYTE ERROR
Fr 15. Mai 09:45:01 UTC 2020: 0-BYTE ERROR
Sa 16. Mai 11:30:01 UTC 2020: 0-BYTE ERROR
Mo 18. Mai 03:45:02 UTC 2020: 0-BYTE ERROR
Mo 18. Mai 08:30:02 UTC 2020: 0-BYTE ERROR
Mo 18. Mai 11:30:02 UTC 2020: 0-BYTE ERROR
Di 19. Mai 01:00:01 UTC 2020: 0-BYTE ERROR
Di 19. Mai 19:30:01 UTC 2020: 0-BYTE ERROR
Mi 20. Mai 03:30:02 UTC 2020: 0-BYTE ERROR
